iter	Passed	Remaining
699	974	417
700	975	416
701	977	414
702	978	413
703	979	411
704	980	410
705	981	408
706	983	407
707	984	405
708	985	404
709	987	403
710	988	401
711	990	400
712	991	399
713	992	397
714	993	396
715	995	394
716	996	393
717	997	391
718	999	390
719	1000	389
720	1001	387
721	1003	386
722	1004	384
723	1006	383
724	1007	382
725	1008	380
726	1010	379
727	1011	377
728	1012	376
729	1014	375
730	1015	373
731	1016	372
732	1018	370
733	1019	369
734	1022	368
735	1024	367
736	1026	366
737	1028	364
738	1029	363
739	1030	362
740	1031	360
741	1033	359
742	1034	357
743	1035	356
744	1036	354
745	1037	353
746	1039	351
747	1040	350
748	1041	349
749	1043	347
750	1044	346
751	1045	344
752	1046	343
753	1047	341
754	1049	340
755	1050	339
756	1051	337
757	1053	336
758	1054	334
759	1056	333
760	1058	332
761	1059	330
762	1060	329
763	1061	327
764	1062	326
765	1064	325
766	1065	323
767	1066	322
768	1067	320
769	1069	319
770	1071	318
771	1072	316
772	1073	315
773	1074	313
774	1075	312
775	1076	310
776	1078	309
777	1079	308
778	1080	306
779	1082	305
780	1083	303
781	1084	302
782	1085	300
783	1087	299
784	1088	298
785	1090	296
786	1091	295
787	1093	294
788	1095	292
789	1096	291
790	1097	290
791	1099	288
792	1100	287
793	1102	285
794	1103	284
795	1105	283
796	1106	281
797	1108	280
798	1109	279
799	1111	277
800	1112	276
801	1113	274
802	1115	273
803	1117	272
804	1118	270
805	1120	269
806	1121	268
807	1122	266
808	1123	265
809	1125	263
810	1126	262
811	1127	261
812	1128	259
813	1129	258
814	1131	256
815	1132	255
816	1133	253
817	1135	252
818	1136	251
819	1137	249
820	1138	248
821	1139	246
822	1141	245
823	1142	243
824	1143	242
825	1144	241
826	1146	239
827	1147	238
828	1148	236
829	1149	235
830	1150	234
831	1152	232
832	1153	231
833	1155	229
834	1157	228
835	1158	227
836	1159	225
837	1160	224
838	1162	223
839	1164	221
840	1165	220
841	1167	219
842	1168	217
843	1169	216
844	1170	214
845	1172	213
846	1173	212
847	1174	210
848	1176	209
849	1177	207
850	1178	206
851	1179	204
852	1181	203
853	1182	202
854	1183	200
855	1184	199
856	1186	197
857	1187	196
858	1189	195
859	1190	193
860	1192	192
861	1193	191
862	1194	189
863	1195	188
864	1197	186
865	1199	185
866	1200	184
867	1202	182
868	1203	181
869	1205	180
870	1207	178
871	1208	177
872	1209	175
873	1211	174
874	1212	173
875	1213	171
876	1214	170
877	1216	168
878	1217	167
879	1218	166
880	1220	164
881	1222	163
882	1223	162
883	1224	160
884	1225	159
885	1227	157
886	1228	156
887	1231	155
888	1236	154
889	1243	153
890	1245	152
891	1248	151
892	1250	149
893	1251	148
894	1253	147
895	1257	145
896	1259	144
897	1260	143
898	1262	141
899	1264	140
900	1265	139
901	1266	137
902	1267	136
903	1268	134
904	1269	133
905	1271	131
906	1272	130
907	1274	129
908	1275	127
909	1276	126
910	1277	124
911	1280	123
912	1281	122
913	1282	120
914	1283	119
915	1284	117
916	1286	116
917	1287	114
918	1288	113
919	1290	112
920	1291	110
921	1292	109
922	1293	107
923	1294	106
924	1295	105
925	1297	103
926	1298	102
927	1300	100
928	1301	99
929	1302	98
930	1303	96
931	1305	95
932	1306	93
933	1307	92
934	1308	90
935	1309	89
936	1311	88
937	1312	86
938	1313	85
939	1315	83
940	1316	82
941	1317	81
942	1318	79
943	1319	78
944	1321	76
945	1322	75
946	1323	74
947	1325	72
948	1326	71
949	1327	69
950	1329	68
951	1331	67
952	1332	65
953	1333	64
954	1334	62
955	1335	61
956	1337	60
957	1338	58
958	1339	57
959	1340	55
960	1341	54
961	1343	53
962	1344	51
963	1345	50
964	1346	48
965	1348	47
966	1349	46
967	1351	44
968	1352	43
969	1353	41
970	1354	40
971	1356	39
972	1357	37
973	1358	36
974	1359	34
975	1360	33
976	1362	32
977	1363	30
978	1364	29
979	1365	27
980	1367	26
981	1368	25
982	1369	23
983	1370	22
984	1372	20
985	1373	19
986	1375	18
987	1377	16
988	1378	15
989	1380	13
990	1381	12
991	1383	11
992	1384	9
993	1385	8
994	1387	6
995	1388	5
996	1389	4
997	1390	2
998	1392	1
999	1393	0
